Student,ID,SIS User ID,SIS Login ID,Section, MCF 3M Module 1 Test  (233350),Module 1 Portfolio Assignment (233454),MCF3M Module 2 Test (233448),Module 3: TEST (Remotely Proctored) (233476),Module 4: Test (Remotely Proctored) (233480),MCF3M Module 8 Assignment (233342),Module 2 Portfolio Assignment (233468),Module 7 Portfolio Assignment (233494),Module 4 Portfolio Assignment (244202),Module 7 Test (233330),Module 3 Portfolio Assignment (233472),Module 5 Portfolio Assignment (233482),Module 5: Test (Remotely Proctored) (233486),Module 6 Portfolio Assignment (233488),Module 6: Test (Remotely Proctored) (233336),Factoring Simple Trinomials (233434),Module 5: Test (Remotely Proctored) (233332),MCF3M Module 3 Test (233450),MCF3M FINAL EXAM  (233444),No Marks Current Score,No Marks Unposted Current Score,No Marks Final Score,No Marks Unposted Final Score,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exam Current Score,Exam Unposted Current Score,Exam Final Score,Exam Unposted Final Score,"Tests, Quizzes Current Score","Tests, Quizzes Unposted Current Score","Tests, Quizzes Final Score","Tests, Quizzes Unposted Final Score",Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Culminating Assignment Current Score,Culminating Assignment Unposted Current Score,Culminating Assignment Final Score,Culminating Assignment Unposted Final Score,FINAL EXAM Current Score,FINAL EXAM Unposted Current Score,FINAL EXAM Final Score,FINAL EXAM Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
,,,,,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,,Manual Posting,,Manual Posting,Manual Posting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Points Possible,,,,,30.00,10.00,36.00,30.00,30.00,33.00,10.00,10.00,10.00,29.00,10.00,10.00,33.00,10.00,33.00,6.00,27.00,32.00,45.00,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
"Axxx, Alpha",90001,sid90001,alpha@example.com,MCF3M-SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bxxxxxx, Bravo",90002,sid90002,bravo@example.com,MCF3M-SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bxxxxx, Charlie",90003,sid90003,charlie@example.com,MCF3M-SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bxxxx, Delta ",90004,sid90004,delta@example.com,MCF3M-SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dxx Gxxxxx, Echo",90005,sid90005,echo@example.com,MCF3M-SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dxxxxxxx, Foxtrot",90006,sid90006,foxtrot@example.com,MCF3M-SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kxxxx, Golf",90007,sid90007,golf@example.com,MCF3M-SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lxxxx, Hotel",90008,sid90008,hotel@example.com,MCF3M-SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mxxxxxxxx, India",90009,sid90009,india@example.com,MCF3M-SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mxxxxx, Juliet",90010,sid90010,juliet@example.com,MCF3M-SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nxxx, Kilo",90011,sid90011,kilo@example.com,MCF3M-SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sxxxxxx , Joy ",90012,sid90012,joy@example.com,MCF3M-SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sxxxxxx, Lima",90013,sid90013,lima@example.com,MCF3M-SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Txxxxx, Mike",90014,sid90014,mike@example.com,MCF3M-SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wxxxxx, November",90015,sid90015,november@example.com,MCF3M-SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wxxxxxx, Oscar",90016,sid90016,oscar@example.com,MCF3M-SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zxx Hafsa,90017,sid90017,hafsa@example.com,MCF3M-SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
